Timestamp_Epoch,Index_Force_N,Thumb_Force_N,Phase
1770765518.564284,-0.2869,0.6475,0
1770765518.580703,-0.2869,0.6475,0
1770765518.597012,-0.2869,0.6475,0
1770765518.613322,-0.2869,0.6475,0
1770765518.629600,-0.2869,0.6475,0
1770765518.645865,-0.2869,0.6475,0
1770765518.662180,-0.2869,0.6475,0
1770765518.678347,-0.2869,0.6475,0
1770765518.694648,-0.2869,0.6475,0
1770765518.711060,-0.2869,0.6475,0
1770765518.727317,-0.2869,0.6475,0
1770765518.743645,-0.2869,0.6475,0
1770765518.759972,-0.2869,0.6475,0
1770765518.776227,-0.2869,0.6475,0
1770765518.792394,-0.2869,0.6475,0
1770765518.808712,-0.2869,0.6475,0
1770765518.825058,-0.2869,0.6475,0
1770765518.841365,-0.2869,0.6475,0
1770765518.857590,-0.2869,0.6475,0
1770765518.873919,-0.2869,0.6475,0
1770765518.890218,-0.2869,0.6475,0
1770765518.906400,-0.2869,0.6475,0
1770765518.922630,-0.2869,0.6475,0
1770765518.938956,-0.2869,0.6475,0
1770765518.955276,-0.2869,0.6475,0
1770765518.971475,-0.2869,0.6475,0
1770765518.987788,-0.2869,0.6475,0
1770765519.004184,-0.2869,0.6475,0
1770765519.020397,-0.2869,0.6475,0
1770765519.036763,-0.2869,0.6475,0
1770765519.053039,-0.2869,0.6475,0
1770765519.069343,-0.2869,0.6475,0
1770765519.085588,-0.2869,0.6475,0
1770765519.101826,-0.2869,0.6475,0
1770765519.118033,-0.2869,0.6475,0
1770765519.134256,-0.2869,0.6475,0
1770765519.150436,-0.2869,0.6475,0
1770765519.166646,-0.2869,0.6475,0
1770765519.182886,-0.2869,0.6475,0
1770765519.199087,-0.2869,0.6475,0
1770765519.215305,-0.2869,0.6475,0
1770765519.231530,-0.2869,0.6475,0
1770765519.247752,-0.2869,0.6475,0
1770765519.263942,-0.2869,0.6475,0
1770765519.280112,-0.2869,0.6475,0
1770765519.296303,-0.2869,0.6475,0
1770765519.312599,-0.2869,0.6475,0
1770765519.328859,-0.2869,0.6475,0
1770765519.345166,-0.2869,0.6475,0
1770765519.361346,-0.2869,0.6475,0
1770765519.377661,-0.2869,0.6475,0
1770765519.393947,-0.2869,0.6475,0
1770765519.410312,-0.2869,0.6475,0
1770765519.426619,-0.2869,0.6475,0
1770765519.443044,-0.2869,0.6475,0
1770765519.459364,-0.2869,0.6475,0
1770765519.475590,-0.2869,0.6475,0
1770765519.491960,-0.2869,0.6475,0
1770765519.508158,-0.2869,0.6475,0
1770765519.524401,-0.2869,0.6475,0
1770765519.540635,-0.2869,0.6475,0
1770765519.556967,-0.2869,0.6475,0
1770765519.573260,-0.2869,0.6475,0
1770765519.589436,-0.2869,0.6475,0
1770765519.605757,-0.2869,0.6475,0
1770765519.622042,-0.2869,0.6475,0
1770765519.638359,-0.2869,0.6475,0
1770765519.654665,-0.2869,0.6475,0
1770765519.670843,-0.2869,0.6475,0
1770765519.687037,-0.2869,0.6475,0
1770765519.703292,-0.2869,0.6475,0
1770765519.719487,-0.2869,0.6475,0
1770765519.735691,-0.2869,0.6475,0
1770765519.751912,-0.2869,0.6475,0
1770765519.768164,-0.2869,0.6475,0
1770765519.784382,-0.2869,0.6475,0
1770765519.800589,-0.2869,0.6475,0
1770765519.816805,-0.2869,0.6475,0
1770765519.832979,-0.2869,0.6475,0
1770765519.849208,-0.2869,0.6475,0
1770765519.865383,-0.2869,0.6475,0
1770765519.881681,-0.2869,0.6475,0
1770765519.897847,-0.2869,0.6475,0
1770765519.914155,-0.2869,0.6475,0
1770765519.930324,-0.2869,0.6475,0
1770765519.946523,-0.2869,0.6475,0
1770765519.962813,-0.2869,0.6475,0
1770765519.979091,-0.2869,0.6475,0
1770765519.995306,-0.2869,0.6475,0
1770765520.011609,-0.2869,0.6475,0
1770765520.027872,-0.2869,0.6475,0
1770765520.044230,-0.2869,0.6475,0
1770765520.060439,-0.2869,0.6475,0
1770765520.076665,-0.2869,0.6475,0
1770765520.092873,-0.2869,0.6475,0
1770765520.109160,-0.2869,0.6475,0
1770765520.125421,-0.2869,0.6475,0
1770765520.141825,-0.2869,0.6475,0
1770765520.158144,-0.2869,0.6475,0
1770765520.174367,-0.2869,0.6475,0
1770765520.190567,-0.2869,0.6475,0
1770765520.206805,-0.2869,0.6475,0
1770765520.222980,-0.2869,0.6475,0
1770765520.239158,-0.2869,0.6475,0
1770765520.255380,-0.2869,0.6475,0
1770765520.271571,-0.2869,0.6475,0
1770765520.287758,-0.2869,0.6475,0
1770765520.303962,-0.2869,0.6475,0
1770765520.320221,-0.2869,0.6475,0
1770765520.336409,-0.2869,0.6475,0
1770765520.352612,-0.2869,0.6475,0
1770765520.368832,-0.2869,0.6475,0
1770765520.385072,-0.2869,0.6475,0
1770765520.401310,-0.2869,0.6475,0
1770765520.417522,-0.2869,0.6475,0
1770765520.433702,-0.2869,0.6475,0
1770765520.449920,-0.2869,0.6475,0
1770765520.466127,-0.2869,0.6475,0
1770765520.482291,-0.2869,0.6475,0
1770765520.498460,-0.2869,0.6475,0
1770765520.514871,-0.2869,0.6475,0
1770765520.531183,-0.2869,0.6475,0
1770765520.547397,-0.2869,0.6977,0
1770765520.563766,-0.2869,0.7228,0
1770765520.580034,-0.2869,0.8859,0
1770765520.596300,-0.2869,0.8859,0
1770765520.612568,-0.2869,1.1996,0
1770765520.628768,-0.2869,1.6889,0
1770765520.657218,-0.2869,2.9059,1
1770765520.673403,-0.2869,2.9059,1
1770765520.689714,-0.2869,3.4204,1
1770765520.705983,-0.2869,3.8972,1
1770765520.722241,-0.2869,4.2736,1
1770765520.738452,-0.2869,4.4492,1
1770765520.754963,-0.2869,4.4492,1
1770765520.771302,-0.2869,4.3614,1
1770765520.787594,-0.2869,4.0352,1
1770765520.803936,-0.2869,3.6086,1
1770765520.820216,-0.2869,3.2071,1
1770765520.836446,-0.2869,3.2071,1
1770765520.852762,-0.2869,2.8683,1
1770765520.869103,-0.3018,2.5797,1
1770765520.885247,-0.3018,2.3162,1
1770765520.901448,-0.3018,2.0653,1
1770765520.917678,-0.3018,1.8520,1
1770765520.933910,-0.3018,1.8520,1
1770765520.950201,-0.3018,1.6638,1
1770765520.966440,-0.3093,1.5258,1
1770765520.982637,-0.3093,1.4003,1
1770765520.998834,-0.3093,1.2748,1
1770765521.015058,-0.3093,1.2748,1
1770765521.031272,-0.3093,1.1619,1
1770765521.047440,-0.3093,1.0741,1
1770765521.063644,-0.3093,1.0114,1
1770765521.079896,-0.3093,0.9361,1
1770765521.096128,-0.3093,0.9361,1
1770765521.112369,-0.3168,0.8859,1
1770765521.128619,-0.3168,0.8231,1
1770765521.144933,-0.3168,0.7730,1
1770765521.161213,-0.3168,0.7353,1
1770765521.177549,-0.3168,0.6977,1
1770765521.193818,-0.3168,0.6977,1
1770765521.210104,-0.3168,0.6600,1
1770765521.226337,-0.3018,0.6349,1
1770765521.242567,-0.2869,0.6098,1
1770765521.258903,-0.2719,0.5973,1
1770765521.275234,-0.2719,0.5973,1
1770765521.291461,-0.2570,0.5722,1
1770765521.307751,-0.2495,0.5597,1
1770765521.324077,-0.2420,0.5346,1
1770765521.340391,-0.2270,0.5220,1
1770765521.356757,-0.2270,0.5220,1
1770765521.372938,-0.2270,0.5095,1
1770765521.389233,-0.2196,0.5095,1
1770765521.405410,-0.2121,0.5095,1
1770765521.421614,-0.2046,0.5095,1
1770765521.437850,-0.1971,0.5095,1
1770765521.454084,-0.1971,0.5095,1
1770765521.470326,-0.1897,0.5095,1
1770765521.486573,-0.1897,0.5095,1
1770765521.502750,-0.1822,0.5095,1
1770765521.518934,-0.1747,0.5095,1
1770765521.535120,-0.1747,0.5095,1
1770765521.551297,-0.1597,0.4844,1
1770765521.567486,-0.1523,0.4844,1
1770765521.583711,-0.1448,0.4844,1
1770765521.599967,-0.1448,0.4844,1
1770765521.616218,-0.1448,0.4844,1
1770765521.632416,-0.1373,0.4844,1
1770765521.648724,-0.1298,0.4844,1
1770765521.664993,-0.1224,0.4844,1
1770765521.681286,-0.1149,0.4844,1
1770765521.697457,-0.0999,0.4844,1
