Timestamp_Epoch,Trial,Mode,Commanded_Speed,Stage,Middle_Angle,Middle_Force_g,Middle_Force_N
1772329664.589908,speed_1000,speed,1000,open,997,25,25.0000
1772329664.612316,speed_1000,speed,1000,open,997,25,25.0000
1772329664.637100,speed_1000,speed,1000,open,997,25,25.0000
1772329664.659570,speed_1000,speed,1000,open,997,25,25.0000
1772329664.682009,speed_1000,speed,1000,open,997,25,25.0000
1772329664.704394,speed_1000,speed,1000,open,997,25,25.0000
1772329664.726916,speed_1000,speed,1000,open,997,25,25.0000
1772329664.749370,speed_1000,speed,1000,open,997,25,25.0000
1772329664.771828,speed_1000,speed,1000,open,997,25,25.0000
1772329664.794305,speed_1000,speed,1000,open,997,25,25.0000
1772329664.816806,speed_1000,speed,1000,open,997,25,25.0000
1772329664.839224,speed_1000,speed,1000,open,997,25,25.0000
1772329664.861541,speed_1000,speed,1000,open,997,25,25.0000
1772329664.884064,speed_1000,speed,1000,open,997,25,25.0000
1772329664.906390,speed_1000,speed,1000,open,997,25,25.0000
1772329664.928910,speed_1000,speed,1000,open,997,25,25.0000
1772329664.951404,speed_1000,speed,1000,open,997,25,25.0000
1772329664.973896,speed_1000,speed,1000,open,997,25,25.0000
1772329664.996297,speed_1000,speed,1000,open,997,25,25.0000
1772329665.018667,speed_1000,speed,1000,open,997,25,25.0000
1772329665.041271,speed_1000,speed,1000,open,997,25,25.0000
1772329665.063753,speed_1000,speed,1000,open,997,25,25.0000
1772329665.086195,speed_1000,speed,1000,open,997,25,25.0000
1772329667.131384,speed_1000,speed,1000,contact,997,25,25.0000
1772329667.169635,speed_1000,speed,1000,contact,997,25,25.0000
1772329667.194491,speed_1000,speed,1000,contact,951,23,23.0000
1772329667.219178,speed_1000,speed,1000,contact,871,23,23.0000
1772329667.243723,speed_1000,speed,1000,contact,826,22,22.0000
1772329667.268395,speed_1000,speed,1000,contact,787,23,23.0000
1772329667.293233,speed_1000,speed,1000,contact,757,82,82.0000
1772329667.317822,speed_1000,speed,1000,contact,750,295,295.0000
1772329667.342371,speed_1000,speed,1000,contact,750,382,382.0000
1772329667.367112,speed_1000,speed,1000,contact,750,459,459.0000
1772329667.391756,speed_1000,speed,1000,contact,750,526,526.0000
1772329667.416290,speed_1000,speed,1000,contact,750,634,634.0000
1772329667.440934,speed_1000,speed,1000,contact,748,678,678.0000
1772329667.465559,speed_1000,speed,1000,contact,748,717,717.0000
1772329667.490248,speed_1000,speed,1000,contact,748,751,751.0000
1772329667.514814,speed_1000,speed,1000,contact,748,806,806.0000
1772329667.539438,speed_1000,speed,1000,contact,748,829,829.0000
1772329667.564202,speed_1000,speed,1000,contact,748,850,850.0000
1772329667.588863,speed_1000,speed,1000,contact,748,868,868.0000
1772329667.613580,speed_1000,speed,1000,contact,748,900,900.0000
1772329667.638263,speed_1000,speed,1000,contact,748,912,912.0000
1772329667.662941,speed_1000,speed,1000,contact,748,925,925.0000
1772329667.687387,speed_1000,speed,1000,contact,748,935,935.0000
1772329667.712158,speed_1000,speed,1000,contact,748,944,944.0000
1772329667.736820,speed_1000,speed,1000,contact,748,959,959.0000
1772329667.761490,speed_1000,speed,1000,contact,748,964,964.0000
1772329667.786111,speed_1000,speed,1000,contact,748,970,970.0000
1772329667.810767,speed_1000,speed,1000,contact,748,975,975.0000
1772329667.835348,speed_1000,speed,1000,contact,748,981,981.0000
1772329667.860094,speed_1000,speed,1000,contact,748,984,984.0000
1772329667.884547,speed_1000,speed,1000,contact,748,986,986.0000
1772329667.909097,speed_1000,speed,1000,contact,748,988,988.0000
1772329667.933815,speed_1000,speed,1000,contact,748,992,992.0000
1772329667.958354,speed_1000,speed,1000,contact,748,993,993.0000
1772329667.982933,speed_1000,speed,1000,contact,748,994,994.0000
1772329668.007516,speed_1000,speed,1000,contact,748,995,995.0000
1772329668.032273,speed_1000,speed,1000,contact,748,995,995.0000
1772329668.056899,speed_1000,speed,1000,contact,748,996,996.0000
1772329668.081428,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.106081,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.130832,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.155415,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.180271,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.204858,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.229454,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.254189,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.278951,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.303377,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.328261,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.352822,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.377586,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.402185,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.426704,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.451537,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.476150,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.500652,speed_1000,speed,1000,contact,748,997,997.0000
1772329668.525311,speed_500,speed,1000,open,748,997,997.0000
1772329668.562312,speed_500,speed,1000,open,748,997,997.0000
1772329668.584718,speed_500,speed,1000,open,758,978,978.0000
1772329668.607310,speed_500,speed,1000,open,782,871,871.0000
1772329668.629780,speed_500,speed,1000,open,824,767,767.0000
1772329668.652210,speed_500,speed,1000,open,865,676,676.0000
1772329668.674462,speed_500,speed,1000,open,911,596,596.0000
1772329668.697050,speed_500,speed,1000,open,950,465,465.0000
1772329668.719387,speed_500,speed,1000,open,998,410,410.0000
1772329668.741773,speed_500,speed,1000,open,998,361,361.0000
1772329668.764194,speed_500,speed,1000,open,997,319,319.0000
1772329668.786603,speed_500,speed,1000,open,998,281,281.0000
1772329668.808985,speed_500,speed,1000,open,998,248,248.0000
1772329668.831432,speed_500,speed,1000,open,998,220,220.0000
1772329668.853944,speed_500,speed,1000,open,998,195,195.0000
1772329668.876318,speed_500,speed,1000,open,998,154,154.0000
1772329668.898804,speed_500,speed,1000,open,997,138,138.0000
