Timestamp_Epoch,Index_Force_N,Thumb_Force_N,Phase
1770763220.339187,-0.2794,0.3589,0
1770763220.355513,-0.2794,0.3589,0
1770763220.371841,-0.2794,0.3589,0
1770763220.388065,-0.2794,0.3589,0
1770763220.404296,-0.2794,0.3589,0
1770763220.420511,-0.2794,0.3589,0
1770763220.436814,-0.2794,0.3589,0
1770763220.453138,-0.2794,0.3589,0
1770763220.469374,-0.2794,0.3589,0
1770763220.485713,-0.2794,0.3589,0
1770763220.502039,-0.2794,0.3589,0
1770763220.518310,-0.2794,0.3589,0
1770763220.534721,-0.2794,0.3589,0
1770763220.551067,-0.2794,0.3589,0
1770763220.567284,-0.2794,0.3589,0
1770763220.583576,-0.2794,0.3589,0
1770763220.599992,-0.2794,0.3589,0
1770763220.616312,-0.2794,0.3589,0
1770763220.632610,-0.2794,0.3589,0
1770763220.649022,-0.2794,0.3589,0
1770763220.665318,-0.2794,0.3589,0
1770763220.681616,-0.2794,0.3589,0
1770763220.698027,-0.2794,0.3589,0
1770763220.714349,-0.2794,0.3589,0
1770763220.730578,-0.2794,0.3589,0
1770763220.746941,-0.2794,0.3589,0
1770763220.763197,-0.2794,0.3589,0
1770763220.779409,-0.2794,0.3589,0
1770763220.795719,-0.2794,0.3589,0
1770763220.812036,-0.2794,0.3589,0
1770763220.828275,-0.2794,0.3589,0
1770763220.844582,-0.2794,0.3589,0
1770763220.860895,-0.2794,0.3589,0
1770763220.877235,-0.2794,0.3589,0
1770763220.893512,-0.2794,0.3589,0
1770763220.909806,-0.2794,0.3589,0
1770763220.926238,-0.2794,0.3589,0
1770763220.942426,-0.2794,0.3589,0
1770763220.958809,-0.2794,0.3589,0
1770763220.975004,-0.2794,0.3589,0
1770763220.991308,-0.2794,0.3589,0
1770763221.007468,-0.2794,0.3589,0
1770763221.023778,-0.2794,0.3589,0
1770763221.040080,-0.2794,0.3589,0
1770763221.056307,-0.2794,0.3589,0
1770763221.072461,-0.2794,0.3589,0
1770763221.088836,-0.2794,0.3589,0
1770763221.105136,-0.2794,0.3589,0
1770763221.121382,-0.2794,0.3589,0
1770763221.137757,-0.2794,0.3589,0
1770763221.154141,-0.2794,0.3589,0
1770763221.170397,-0.2794,0.3589,0
1770763221.186670,-0.2794,0.3589,0
1770763221.202847,-0.2794,0.3589,0
1770763221.219047,-0.2794,0.3589,0
1770763221.235268,-0.2794,0.3589,0
1770763221.251536,-0.2794,0.3589,0
1770763221.267756,-0.2794,0.3589,0
1770763221.284083,-0.2794,0.3589,0
1770763221.300412,-0.2794,0.3589,0
1770763221.316714,-0.2794,0.3589,0
1770763221.332903,-0.2794,0.3589,0
1770763221.349120,-0.2794,0.3589,0
1770763221.365299,-0.2794,0.3589,0
1770763221.381516,-0.2794,0.3589,0
1770763221.397751,-0.2794,0.3589,0
1770763221.414001,-0.2794,0.3589,0
1770763221.430220,-0.2794,0.3589,0
1770763221.446475,-0.2794,0.3589,0
1770763221.462699,-0.2794,0.3589,0
1770763221.478939,-0.2794,0.3589,0
1770763221.495218,-0.2794,0.3589,0
1770763221.511470,-0.2794,0.3589,0
1770763221.527713,-0.2794,0.3589,0
1770763221.543972,-0.2794,0.3589,0
1770763221.560228,-0.2794,0.3589,0
1770763221.576441,-0.2794,0.3589,0
1770763221.592751,-0.2794,0.3589,0
1770763221.609086,-0.2794,0.3589,0
1770763221.625315,-0.2794,0.3589,0
1770763221.641613,-0.2794,0.3589,0
1770763221.657922,-0.2794,0.3589,0
1770763221.674222,-0.2794,0.3589,0
1770763221.690498,-0.2794,0.3589,0
1770763221.706694,-0.2794,0.3589,0
1770763221.722854,-0.2794,0.3589,0
1770763221.739052,-0.2794,0.3589,0
1770763221.755274,-0.2794,0.3589,0
1770763221.771468,-0.2794,0.3589,0
1770763221.787679,-0.2794,0.3589,0
1770763221.803913,-0.2794,0.3589,0
1770763221.820132,-0.2794,0.3589,0
1770763221.836339,-0.2794,0.3589,0
1770763221.852625,-0.2794,0.3589,0
1770763221.868874,-0.2794,0.3589,0
1770763221.885118,-0.2794,0.3589,0
1770763221.901287,-0.2794,0.3589,0
1770763221.917496,-0.2794,0.3589,0
1770763221.933719,-0.2794,0.3589,0
1770763221.949905,-0.2794,0.3589,0
1770763221.966152,-0.2794,0.3589,0
1770763221.982395,-0.2794,0.3589,0
1770763221.998602,-0.2794,0.3589,0
1770763222.014803,-0.2794,0.3589,0
1770763222.030989,-0.2794,0.3589,0
1770763222.047215,-0.2794,0.3589,0
1770763222.063440,-0.2794,0.3589,0
1770763222.079686,-0.2794,0.3589,0
1770763222.095914,-0.2794,0.3589,0
1770763222.112181,-0.2794,0.3589,0
