label,finger,target_angle,speed,rise_time,settling_time,overshoot_pct,rms_error,rms_error_steady,steady_state_error,reference_used,settling_rule,eps,final_est
"code-1 (a=500, s=1000)",2,500,1000,0.1783918394860227,0.2679581670090556,0.08982826948480274,86.71457087071589,0.4959061486416258,5.4415584415584135,final,to_end,9.831168831168831,505.4415584415584
"code-2 (a=500, s=750)",2,500,750,0.20255784029600304,0.32963791699148715,0.0,97.39931212904058,0.0,-2.0,final,to_end,10.040000000000001,498.0
"code-3 (a=500, s=500)",2,500,500,0.2668130007797542,0.411617749981815,0.0,106.04524766005335,0.0,0.0,final,to_end,9.96,500.0
"code-4 (a=500, s=250)",2,500,250,0.5428378065000288,0.7484200000180863,0.0,134.97360032920994,0.0,0.0,final,to_end,9.96,500.0
"code-5 (a=500, s=100)",2,500,100,1.3978212667331618,1.7871832920063753,0.0,203.201237115509,0.0,1.0,final,to_end,9.96,501.0
