Timestamp_Epoch,Index_Angle,Thumb_Angle,Index_Force_g,Thumb_Force_g,Index_Force_N,Thumb_Force_N
1772241958.918624,999,652,25,-7,25.0000,-7.0000
1772241958.941087,999,652,25,-7,25.0000,-7.0000
1772241958.965867,999,652,25,-7,25.0000,-7.0000
1772241958.988228,999,652,25,-7,25.0000,-7.0000
1772241959.010576,999,653,25,-7,25.0000,-7.0000
1772241959.033128,999,652,25,-7,25.0000,-7.0000
1772241959.055387,999,652,25,-7,25.0000,-7.0000
1772241959.077736,999,652,25,-7,25.0000,-7.0000
1772241959.100238,999,652,25,-7,25.0000,-7.0000
1772241959.122471,999,652,25,-7,25.0000,-7.0000
1772241959.145068,999,652,25,-7,25.0000,-7.0000
1772241959.167447,999,652,25,-7,25.0000,-7.0000
1772241959.189784,999,652,25,-7,25.0000,-7.0000
1772241959.212308,999,652,25,-7,25.0000,-7.0000
1772241959.234662,999,652,25,-7,25.0000,-7.0000
1772241959.257018,999,652,25,-7,25.0000,-7.0000
1772241959.279383,999,651,25,-7,25.0000,-7.0000
1772241959.301907,999,652,25,-7,25.0000,-7.0000
1772241959.324303,999,652,25,-7,25.0000,-7.0000
1772241959.346660,999,652,25,-7,25.0000,-7.0000
1772241959.369239,999,652,25,-7,25.0000,-7.0000
1772241959.391596,999,652,25,-7,25.0000,-7.0000
1772241959.413990,999,652,25,-7,25.0000,-7.0000
1772241959.436506,999,652,25,-7,25.0000,-7.0000
1772241959.458913,999,652,25,-7,25.0000,-7.0000
1772241959.501883,999,652,25,-7,25.0000,-7.0000
1772241959.524313,999,652,25,-7,25.0000,-7.0000
1772241959.546755,999,652,25,-7,25.0000,-7.0000
1772241959.569234,999,652,25,-7,25.0000,-7.0000
1772241959.591615,999,652,25,-7,25.0000,-7.0000
1772241959.614011,999,652,25,-7,25.0000,-7.0000
1772241959.636495,999,652,25,-7,25.0000,-7.0000
1772241959.658994,999,652,25,-7,25.0000,-7.0000
1772241959.681381,999,652,25,-7,25.0000,-7.0000
1772241959.703891,993,652,27,-7,27.0000,-7.0000
1772241959.726390,993,652,28,-7,28.0000,-7.0000
1772241959.748780,991,652,29,-7,29.0000,-7.0000
1772241959.771280,990,652,30,-7,30.0000,-7.0000
1772241959.793566,989,652,31,-7,31.0000,-7.0000
1772241959.815996,985,652,32,-7,32.0000,-7.0000
1772241959.838408,985,652,34,-7,34.0000,-7.0000
1772241959.860982,984,652,35,-7,35.0000,-7.0000
1772241959.883313,980,651,35,-7,35.0000,-7.0000
1772241959.905874,980,652,35,-7,35.0000,-7.0000
1772241959.928354,978,652,36,-7,36.0000,-7.0000
1772241959.950770,976,652,36,-7,36.0000,-7.0000
1772241959.973252,975,652,36,-7,36.0000,-7.0000
1772241959.995460,974,652,37,-7,37.0000,-7.0000
1772241960.017953,972,652,37,-7,37.0000,-7.0000
1772241960.040313,970,652,37,-7,37.0000,-7.0000
1772241960.062778,969,652,37,-7,37.0000,-7.0000
1772241960.085245,967,652,37,-7,37.0000,-7.0000
1772241960.107608,965,652,37,-7,37.0000,-7.0000
1772241960.130192,965,652,37,-7,37.0000,-7.0000
1772241960.152687,962,652,37,-7,37.0000,-7.0000
1772241960.175241,960,652,37,-7,37.0000,-7.0000
1772241960.197506,958,652,37,-7,37.0000,-7.0000
1772241960.219981,958,652,37,-7,37.0000,-7.0000
1772241960.242375,957,652,38,-7,38.0000,-7.0000
1772241960.264846,955,652,38,-7,38.0000,-7.0000
1772241960.287355,952,652,38,-7,38.0000,-7.0000
1772241960.309914,950,652,38,-7,38.0000,-7.0000
1772241960.332375,948,652,37,-7,37.0000,-7.0000
1772241960.354806,948,652,37,-7,37.0000,-7.0000
1772241960.377263,946,653,37,-7,37.0000,-7.0000
1772241960.399477,945,652,37,-7,37.0000,-7.0000
1772241960.422062,944,652,37,-7,37.0000,-7.0000
1772241960.444379,944,652,38,-7,38.0000,-7.0000
1772241960.466733,942,652,38,-7,38.0000,-7.0000
1772241960.489286,936,652,38,-7,38.0000,-7.0000
1772241960.511561,936,652,38,-7,38.0000,-7.0000
1772241960.534069,935,652,38,-7,38.0000,-7.0000
1772241960.556390,934,652,38,-7,38.0000,-7.0000
1772241960.578866,933,652,38,-7,38.0000,-7.0000
1772241960.601336,930,652,37,-7,37.0000,-7.0000
1772241960.623667,928,652,37,-7,37.0000,-7.0000
1772241960.646137,928,652,38,-7,38.0000,-7.0000
1772241960.668576,925,652,38,-7,38.0000,-7.0000
1772241960.691039,924,652,38,-7,38.0000,-7.0000
1772241960.713382,923,652,38,-7,38.0000,-7.0000
1772241960.735851,921,652,38,-7,38.0000,-7.0000
1772241960.758312,920,652,38,-7,38.0000,-7.0000
1772241960.780773,918,652,38,-7,38.0000,-7.0000
1772241960.803305,918,652,39,-7,39.0000,-7.0000
1772241960.825613,916,652,38,-7,38.0000,-7.0000
1772241960.848223,913,652,38,-7,38.0000,-7.0000
1772241960.870494,911,652,38,-7,38.0000,-7.0000
1772241960.892999,910,652,38,-7,38.0000,-7.0000
1772241960.915395,910,652,38,-7,38.0000,-7.0000
1772241960.937949,909,652,38,-7,38.0000,-7.0000
1772241960.960369,906,652,38,-7,38.0000,-7.0000
1772241960.982757,905,652,38,-7,38.0000,-7.0000
1772241961.005295,903,652,38,-7,38.0000,-7.0000
1772241961.027647,902,652,38,-7,38.0000,-7.0000
1772241961.050221,901,652,39,-7,39.0000,-7.0000
1772241961.072587,898,652,38,-7,38.0000,-7.0000
1772241961.095167,896,652,38,-7,38.0000,-7.0000
1772241961.117464,896,652,38,-7,38.0000,-7.0000
1772241961.139928,893,652,39,-7,39.0000,-7.0000
1772241961.162375,893,652,39,-7,39.0000,-7.0000
1772241961.184837,891,652,39,-7,39.0000,-7.0000
1772241961.207300,888,652,39,-7,39.0000,-7.0000
1772241961.229599,886,652,39,-7,39.0000,-7.0000
1772241961.252020,884,652,39,-7,39.0000,-7.0000
1772241961.274395,884,652,39,-7,39.0000,-7.0000
1772241961.296738,883,652,39,-7,39.0000,-7.0000
1772241961.319246,882,652,39,-7,39.0000,-7.0000
1772241961.341697,881,652,38,-7,38.0000,-7.0000
1772241961.364118,878,652,38,-7,38.0000,-7.0000
