Timestamp_Epoch,Index_Angle,Thumb_Angle,Index_Force_g,Thumb_Force_g,Index_Force_N,Thumb_Force_N
1772241153.487795,996,653,23,-7,23.0000,-7.0000
1772241153.510319,996,652,23,-7,23.0000,-7.0000
1772241153.535033,996,652,23,-7,23.0000,-7.0000
1772241153.557405,996,652,23,-7,23.0000,-7.0000
1772241153.579990,996,652,23,-7,23.0000,-7.0000
1772241153.602293,996,652,23,-7,23.0000,-7.0000
1772241153.624873,996,652,23,-7,23.0000,-7.0000
1772241153.647299,996,652,23,-7,23.0000,-7.0000
1772241153.669635,996,652,23,-7,23.0000,-7.0000
1772241153.692227,996,652,23,-7,23.0000,-7.0000
1772241153.714584,996,652,23,-7,23.0000,-7.0000
1772241153.737180,996,652,23,-7,23.0000,-7.0000
1772241153.759656,996,652,23,-7,23.0000,-7.0000
1772241153.782065,996,653,23,-7,23.0000,-7.0000
1772241153.804463,996,652,23,-7,23.0000,-7.0000
1772241153.826952,996,652,23,-7,23.0000,-7.0000
1772241153.849294,996,652,23,-7,23.0000,-7.0000
1772241153.871660,996,652,23,-7,23.0000,-7.0000
1772241153.894257,996,652,23,-7,23.0000,-7.0000
1772241153.916711,996,652,23,-7,23.0000,-7.0000
1772241153.938988,996,652,23,-7,23.0000,-7.0000
1772241153.961381,996,652,23,-7,23.0000,-7.0000
1772241153.983976,996,652,23,-7,23.0000,-7.0000
1772241154.006372,996,653,23,-7,23.0000,-7.0000
1772241154.028877,996,652,23,-7,23.0000,-7.0000
1772241154.053390,996,652,23,-7,23.0000,-7.0000
1772241154.075863,996,652,23,-7,23.0000,-7.0000
1772241154.098417,951,652,23,-7,23.0000,-7.0000
1772241154.120991,909,652,22,-7,22.0000,-7.0000
1772241154.143389,870,652,22,-7,22.0000,-7.0000
1772241154.165860,825,652,22,-7,22.0000,-7.0000
1772241154.188314,805,652,25,-7,25.0000,-7.0000
1772241154.210785,805,652,26,-7,26.0000,-7.0000
1772241154.233181,805,652,27,-7,27.0000,-7.0000
1772241154.255461,805,652,28,-7,28.0000,-7.0000
1772241154.278048,805,652,29,-7,29.0000,-7.0000
1772241154.300509,805,653,30,-7,30.0000,-7.0000
1772241154.322909,805,652,31,-7,31.0000,-7.0000
1772241154.345301,805,652,34,-7,34.0000,-7.0000
1772241154.367628,805,652,34,-7,34.0000,-7.0000
1772241154.390160,805,653,34,-7,34.0000,-7.0000
1772241154.412599,805,652,34,-7,34.0000,-7.0000
1772241154.435109,805,653,34,-7,34.0000,-7.0000
1772241154.457371,805,652,34,-7,34.0000,-7.0000
1772241154.479847,805,652,34,-7,34.0000,-7.0000
1772241154.502278,805,652,34,-7,34.0000,-7.0000
1772241154.524701,805,652,34,-7,34.0000,-7.0000
1772241154.547153,805,652,34,-7,34.0000,-7.0000
1772241154.578043,805,652,34,-7,34.0000,-7.0000
1772241154.600425,805,652,34,-7,34.0000,-7.0000
1772241154.622814,805,652,34,-7,34.0000,-7.0000
1772241154.645303,805,652,34,-7,34.0000,-7.0000
1772241154.667770,805,652,34,-7,34.0000,-7.0000
1772241154.690299,805,652,34,-7,34.0000,-7.0000
1772241154.712681,805,653,34,-7,34.0000,-7.0000
1772241154.735196,805,652,34,-7,34.0000,-7.0000
1772241154.757466,804,652,35,-7,35.0000,-7.0000
1772241154.779983,803,652,36,-7,36.0000,-7.0000
1772241154.802346,800,652,37,-7,37.0000,-7.0000
1772241154.824816,797,652,38,-7,38.0000,-7.0000
1772241154.847294,797,652,39,-7,39.0000,-7.0000
1772241154.869566,795,652,39,-7,39.0000,-7.0000
1772241154.892149,793,653,39,-7,39.0000,-7.0000
1772241154.914459,791,652,39,-7,39.0000,-7.0000
1772241154.937033,790,652,39,-7,39.0000,-7.0000
1772241154.959373,789,652,39,-7,39.0000,-7.0000
1772241154.981847,787,652,39,-7,39.0000,-7.0000
1772241155.004306,784,652,40,-7,40.0000,-7.0000
1772241155.026576,784,652,40,-7,40.0000,-7.0000
1772241155.049099,781,652,40,-7,40.0000,-7.0000
1772241155.071607,779,652,39,-7,39.0000,-7.0000
1772241155.094079,775,652,39,-7,39.0000,-7.0000
1772241155.116300,775,652,39,-7,39.0000,-7.0000
1772241155.138682,774,652,39,-7,39.0000,-7.0000
1772241155.161203,774,652,39,-7,39.0000,-7.0000
1772241155.183470,771,652,39,-7,39.0000,-7.0000
1772241155.205957,771,652,40,-7,40.0000,-7.0000
1772241155.228378,767,652,40,-7,40.0000,-7.0000
1772241155.250925,764,653,40,-7,40.0000,-7.0000
1772241155.273288,764,652,40,-7,40.0000,-7.0000
1772241155.295781,762,652,39,-7,39.0000,-7.0000
1772241155.318296,761,652,39,-7,39.0000,-7.0000
1772241155.340597,759,652,39,-7,39.0000,-7.0000
1772241155.363067,758,652,39,-7,39.0000,-7.0000
1772241155.385387,757,652,40,-7,40.0000,-7.0000
1772241155.407910,754,652,40,-7,40.0000,-7.0000
1772241155.430295,752,652,40,-7,40.0000,-7.0000
1772241155.452571,750,652,40,-7,40.0000,-7.0000
1772241155.475040,750,652,40,-7,40.0000,-7.0000
1772241155.497503,747,652,42,-7,42.0000,-7.0000
1772241155.519891,746,652,42,-7,42.0000,-7.0000
1772241155.542317,745,652,42,-7,42.0000,-7.0000
1772241155.564796,745,652,46,-7,46.0000,-7.0000
1772241155.587234,744,652,48,-7,48.0000,-7.0000
1772241155.609605,740,652,52,-7,52.0000,-7.0000
1772241155.632107,740,653,56,-5,56.0000,-5.0000
1772241155.654467,740,652,60,-5,60.0000,-5.0000
1772241155.676967,739,652,65,-4,65.0000,-4.0000
1772241155.699519,738,652,72,-1,72.0000,-1.0000
1772241155.721971,737,652,79,1,79.0000,1.0000
1772241155.744319,737,653,88,4,88.0000,4.0000
1772241155.766729,737,653,106,10,106.0000,10.0000
1772241155.789310,736,652,115,12,115.0000,12.0000
1772241155.811744,735,652,127,17,127.0000,17.0000
1772241155.834243,733,652,140,21,140.0000,21.0000
1772241155.856649,733,652,152,24,152.0000,24.0000
1772241155.879071,732,652,164,28,164.0000,28.0000
1772241155.901397,732,652,176,31,176.0000,31.0000
