Timestamp_Epoch,Index_Angle,Thumb_Angle,Index_Force_g,Thumb_Force_g,Index_Force_N,Thumb_Force_N
1772241096.912847,997,652,25,-7,25.0000,-7.0000
1772241096.935318,997,652,25,-7,25.0000,-7.0000
1772241096.959933,997,652,25,-7,25.0000,-7.0000
1772241096.982386,997,652,25,-7,25.0000,-7.0000
1772241097.004829,997,652,25,-7,25.0000,-7.0000
1772241097.027236,997,652,25,-7,25.0000,-7.0000
1772241097.049603,997,652,25,-7,25.0000,-7.0000
1772241097.072084,998,652,25,-7,25.0000,-7.0000
1772241097.094385,997,653,25,-7,25.0000,-7.0000
1772241097.116981,997,652,25,-7,25.0000,-7.0000
1772241097.139302,997,652,25,-7,25.0000,-7.0000
1772241097.161815,997,652,25,-7,25.0000,-7.0000
1772241097.184182,997,652,25,-7,25.0000,-7.0000
1772241097.206492,997,652,25,-7,25.0000,-7.0000
1772241097.229017,997,652,25,-7,25.0000,-7.0000
1772241097.251500,997,652,25,-7,25.0000,-7.0000
1772241097.273915,997,652,25,-7,25.0000,-7.0000
1772241097.296288,998,652,25,-7,25.0000,-7.0000
1772241097.318666,997,652,25,-7,25.0000,-7.0000
1772241097.341046,997,652,25,-7,25.0000,-7.0000
1772241097.363390,998,652,25,-7,25.0000,-7.0000
1772241097.385883,997,652,25,-7,25.0000,-7.0000
1772241097.408279,997,652,25,-7,25.0000,-7.0000
1772241097.430663,997,652,25,-7,25.0000,-7.0000
1772241097.453159,997,653,25,-7,25.0000,-7.0000
1772241097.477775,997,652,25,-7,25.0000,-7.0000
1772241097.500265,997,652,25,-7,25.0000,-7.0000
1772241097.522645,951,652,25,-7,25.0000,-7.0000
1772241097.545056,910,652,23,-7,23.0000,-7.0000
1772241097.567415,871,652,23,-8,23.0000,-8.0000
1772241097.589937,826,652,22,-8,22.0000,-8.0000
1772241097.612316,805,652,22,-8,22.0000,-8.0000
1772241097.634683,805,652,26,-8,26.0000,-8.0000
1772241097.657152,805,652,27,-8,27.0000,-8.0000
1772241097.679575,805,652,28,-8,28.0000,-8.0000
1772241097.702160,805,652,29,-8,29.0000,-8.0000
1772241097.724442,805,652,30,-8,30.0000,-8.0000
1772241097.747043,805,652,31,-8,31.0000,-8.0000
1772241097.769537,805,652,32,-8,32.0000,-8.0000
1772241097.791880,805,652,34,-8,34.0000,-8.0000
1772241097.814343,805,652,34,-8,34.0000,-8.0000
1772241097.836822,805,652,34,-8,34.0000,-8.0000
1772241097.859303,805,652,34,-8,34.0000,-8.0000
1772241097.881771,805,652,34,-8,34.0000,-8.0000
1772241097.904292,805,652,34,-8,34.0000,-8.0000
1772241097.926645,805,652,34,-8,34.0000,-8.0000
1772241097.949237,805,652,34,-8,34.0000,-8.0000
1772241097.971489,805,652,34,-8,34.0000,-8.0000
1772241098.002283,805,652,34,-8,34.0000,-8.0000
1772241098.024537,805,652,34,-8,34.0000,-8.0000
1772241098.047052,805,652,34,-8,34.0000,-8.0000
1772241098.069416,805,652,34,-8,34.0000,-8.0000
1772241098.091853,805,652,34,-8,34.0000,-8.0000
1772241098.114207,805,652,34,-8,34.0000,-8.0000
1772241098.136610,805,652,34,-8,34.0000,-8.0000
1772241098.159059,805,652,34,-8,34.0000,-8.0000
1772241098.181425,804,652,35,-8,35.0000,-8.0000
1772241098.203959,802,652,36,-8,36.0000,-8.0000
1772241098.226375,800,652,37,-8,37.0000,-8.0000
1772241098.248856,798,652,38,-8,38.0000,-8.0000
1772241098.271388,797,652,38,-8,38.0000,-8.0000
1772241098.293754,796,652,38,-8,38.0000,-8.0000
1772241098.316259,794,652,38,-8,38.0000,-8.0000
1772241098.338607,792,652,39,-8,39.0000,-8.0000
1772241098.361094,789,652,39,-8,39.0000,-8.0000
1772241098.383457,787,653,39,-8,39.0000,-8.0000
1772241098.405962,787,652,39,-8,39.0000,-8.0000
1772241098.428379,785,652,40,-8,40.0000,-8.0000
1772241098.450812,784,652,40,-8,40.0000,-8.0000
1772241098.473300,781,652,40,-8,40.0000,-8.0000
1772241098.495659,780,652,40,-8,40.0000,-8.0000
1772241098.518048,777,652,40,-8,40.0000,-8.0000
1772241098.540347,774,652,40,-8,40.0000,-8.0000
