Timestamp_Epoch,Index_Angle,Thumb_Angle,Index_Force_g,Thumb_Force_g,Index_Force_N,Thumb_Force_N
1772241090.877888,997,652,26,-7,26.0000,-7.0000
1772241090.900341,996,652,26,-7,26.0000,-7.0000
1772241090.925178,997,652,26,-7,26.0000,-7.0000
1772241090.947471,997,652,26,-7,26.0000,-7.0000
1772241090.969986,996,652,26,-7,26.0000,-7.0000
1772241090.992375,997,652,26,-7,26.0000,-7.0000
1772241091.014742,997,653,26,-7,26.0000,-7.0000
1772241091.037184,996,652,26,-7,26.0000,-7.0000
1772241091.059493,996,652,26,-7,26.0000,-7.0000
1772241091.082093,996,652,26,-7,26.0000,-7.0000
1772241091.104523,996,652,26,-7,26.0000,-7.0000
1772241091.126968,997,652,26,-7,26.0000,-7.0000
1772241091.149386,996,652,26,-7,26.0000,-7.0000
1772241091.171881,997,652,26,-7,26.0000,-7.0000
1772241091.194217,996,652,26,-7,26.0000,-7.0000
1772241091.216622,997,653,26,-7,26.0000,-7.0000
1772241091.239154,997,652,26,-7,26.0000,-7.0000
1772241091.261678,997,652,26,-7,26.0000,-7.0000
1772241091.284195,997,652,26,-7,26.0000,-7.0000
1772241091.306571,997,653,26,-7,26.0000,-7.0000
1772241091.329011,996,652,26,-7,26.0000,-7.0000
1772241091.351498,997,652,26,-7,26.0000,-7.0000
1772241091.373901,996,652,26,-7,26.0000,-7.0000
1772241091.396382,997,652,26,-7,26.0000,-7.0000
1772241091.418861,997,652,26,-7,26.0000,-7.0000
1772241091.443378,997,652,26,-7,26.0000,-7.0000
1772241091.465987,996,652,26,-7,26.0000,-7.0000
1772241091.488382,951,652,25,-7,25.0000,-7.0000
1772241091.510971,910,652,23,-7,23.0000,-7.0000
1772241091.533352,871,652,23,-7,23.0000,-7.0000
1772241091.555826,826,652,22,-7,22.0000,-7.0000
1772241091.578301,805,652,25,-7,25.0000,-7.0000
1772241091.600695,805,652,26,-7,26.0000,-7.0000
1772241091.623282,805,652,27,-7,27.0000,-7.0000
1772241091.645643,805,652,28,-7,28.0000,-7.0000
1772241091.668068,805,652,29,-7,29.0000,-7.0000
1772241091.690424,805,652,30,-7,30.0000,-7.0000
1772241091.712962,805,652,31,-7,31.0000,-7.0000
1772241091.735330,805,652,32,-7,32.0000,-7.0000
1772241091.757651,805,652,34,-7,34.0000,-7.0000
1772241091.780224,805,652,34,-7,34.0000,-7.0000
1772241091.802598,805,652,34,-7,34.0000,-7.0000
1772241091.825112,805,652,34,-7,34.0000,-7.0000
1772241091.847533,805,652,34,-7,34.0000,-7.0000
1772241091.870126,804,652,34,-7,34.0000,-7.0000
1772241091.892538,805,652,34,-7,34.0000,-7.0000
1772241091.915082,805,652,34,-7,34.0000,-7.0000
1772241091.937483,804,652,34,-7,34.0000,-7.0000
1772241091.968420,805,652,34,-7,34.0000,-7.0000
1772241091.990850,805,653,34,-7,34.0000,-7.0000
1772241092.013297,805,652,34,-7,34.0000,-7.0000
1772241092.035770,805,652,34,-7,34.0000,-7.0000
1772241092.058233,805,652,34,-7,34.0000,-7.0000
1772241092.080457,805,652,34,-7,34.0000,-7.0000
1772241092.103036,804,652,34,-7,34.0000,-7.0000
1772241092.125547,804,652,34,-7,34.0000,-7.0000
1772241092.148045,802,653,35,-7,35.0000,-7.0000
1772241092.170533,802,652,36,-7,36.0000,-7.0000
1772241092.193113,799,652,37,-7,37.0000,-7.0000
1772241092.215456,797,652,38,-7,38.0000,-7.0000
1772241092.238033,797,652,38,-7,38.0000,-7.0000
1772241092.260382,795,652,39,-7,39.0000,-7.0000
1772241092.282770,792,652,39,-7,39.0000,-7.0000
1772241092.305305,790,652,39,-7,39.0000,-7.0000
1772241092.327703,788,652,39,-7,39.0000,-7.0000
1772241092.350284,787,652,39,-7,39.0000,-7.0000
1772241092.372683,787,652,39,-7,39.0000,-7.0000
