Timestamp_Epoch,Index_Angle,Thumb_Angle,Index_Force_g,Thumb_Force_g,Index_Force_N,Thumb_Force_N
1772241137.210654,996,652,23,-7,23.0000,-7.0000
1772241137.233318,996,652,23,-7,23.0000,-7.0000
1772241137.257983,996,652,23,-7,23.0000,-7.0000
1772241137.280374,996,652,23,-7,23.0000,-7.0000
1772241137.302738,996,652,23,-7,23.0000,-7.0000
1772241137.325183,996,652,23,-7,23.0000,-7.0000
1772241137.347585,996,653,23,-7,23.0000,-7.0000
1772241137.370184,996,652,23,-7,23.0000,-7.0000
1772241137.392474,996,652,23,-7,23.0000,-7.0000
1772241137.415000,997,652,23,-7,23.0000,-7.0000
1772241137.437512,996,652,23,-7,23.0000,-7.0000
1772241137.460056,996,652,23,-7,23.0000,-7.0000
1772241137.482488,996,652,23,-7,23.0000,-7.0000
1772241137.505073,996,653,23,-7,23.0000,-7.0000
1772241137.527439,997,652,23,-7,23.0000,-7.0000
1772241137.549883,996,652,23,-7,23.0000,-7.0000
1772241137.572316,996,652,23,-7,23.0000,-7.0000
1772241137.594791,996,653,23,-7,23.0000,-7.0000
1772241137.617265,996,652,23,-7,23.0000,-7.0000
1772241137.639655,997,652,23,-7,23.0000,-7.0000
1772241137.662253,996,652,23,-7,23.0000,-7.0000
1772241137.684695,996,652,23,-7,23.0000,-7.0000
1772241137.707204,996,652,23,-7,23.0000,-7.0000
1772241137.729696,996,652,23,-7,23.0000,-7.0000
1772241137.752102,997,653,23,-7,23.0000,-7.0000
1772241137.776896,996,652,23,-7,23.0000,-7.0000
1772241137.799482,951,652,23,-7,23.0000,-7.0000
1772241137.822074,910,652,22,-7,22.0000,-7.0000
1772241137.844436,871,652,22,-7,22.0000,-7.0000
1772241137.866908,826,652,21,-7,21.0000,-7.0000
1772241137.889312,805,652,21,-7,21.0000,-7.0000
1772241137.911700,805,653,23,-7,23.0000,-7.0000
1772241137.934186,805,652,26,-7,26.0000,-7.0000
1772241137.956439,805,652,27,-7,27.0000,-7.0000
1772241137.979026,805,652,28,-7,28.0000,-7.0000
1772241138.001542,805,652,29,-7,29.0000,-7.0000
1772241138.024062,805,652,30,-7,30.0000,-7.0000
1772241138.046384,805,652,31,-7,31.0000,-7.0000
1772241138.068868,805,652,32,-7,32.0000,-7.0000
1772241138.091220,805,652,32,-7,32.0000,-7.0000
1772241138.113632,805,652,32,-7,32.0000,-7.0000
1772241138.136219,805,652,32,-7,32.0000,-7.0000
1772241138.158582,805,652,32,-7,32.0000,-7.0000
1772241138.181167,805,652,32,-7,32.0000,-7.0000
1772241138.203371,805,652,32,-7,32.0000,-7.0000
1772241138.225766,805,652,32,-7,32.0000,-7.0000
1772241138.248286,805,652,32,-7,32.0000,-7.0000
1772241138.270664,805,652,32,-7,32.0000,-7.0000
1772241138.301409,805,653,32,-7,32.0000,-7.0000
1772241138.323993,805,652,32,-7,32.0000,-7.0000
1772241138.346382,805,652,32,-7,32.0000,-7.0000
1772241138.368768,805,652,32,-7,32.0000,-7.0000
1772241138.391160,805,652,32,-7,32.0000,-7.0000
1772241138.413388,805,652,32,-7,32.0000,-7.0000
1772241138.435792,805,652,32,-7,32.0000,-7.0000
1772241138.458214,805,652,34,-7,34.0000,-7.0000
1772241138.480569,804,652,35,-7,35.0000,-7.0000
1772241138.503156,802,652,36,-7,36.0000,-7.0000
1772241138.525373,800,652,37,-7,37.0000,-7.0000
1772241138.547839,797,652,38,-7,38.0000,-7.0000
