Source_File,Mode,Speed_Label,Speed_Value,Force_Limit_g,Force_Trigger_g,Trial_Index,Trial_Name,Sample_Count,Median_dt_s,Baseline_Mean_g,Baseline_Std_g,Onset_Threshold_g,Onset_Trial_Elapsed_s,Onset_Force_g,Onset_Angle,Peak_Force_g,Peak_Force_Trial_Elapsed_s,Peak_Force_Angle,Overshoot_g
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,7,speed_07,266,0.012508,-2.000000,0.000000,18.000000,4.594984,18.600000,688,158.000000,4.966741,679,58.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,8,speed_08,266,0.012466,-2.000000,0.000000,18.000000,4.293244,20.400000,686,182.000000,4.714701,678,82.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,9,speed_09,251,0.012456,-2.000000,0.000000,18.000000,4.213336,19.400000,688,152.000000,4.547348,679,52.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,10,speed_10,271,0.012485,-2.000000,0.000000,18.000000,4.606984,21.600000,688,145.000000,4.844405,680,45.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,11,speed_11,263,0.012476,-2.000000,0.000000,18.000000,4.364398,19.400000,688,153.000000,4.688535,679,53.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,12,speed_12,206,0.012493,-2.000000,0.000000,18.000000,4.306212,18.400000,688,162.000000,4.734998,679,62.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,13,speed_13,306,0.012507,-2.000000,0.000000,18.000000,4.073569,21.400000,687,162.000000,4.448437,679,62.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,14,speed_14,442,0.012458,-2.000000,0.000000,18.000000,6.040416,21.400000,686,142.000000,6.226725,680,42.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,15,speed_15,313,0.012524,-2.000000,0.000000,18.000000,5.796125,23.000000,686,161.000000,6.145515,679,61.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,16,speed_16,237,0.012512,-2.000000,0.000000,18.000000,4.057739,21.400000,688,144.000000,4.295307,680,44.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,17,speed_17,265,0.012525,-2.000000,0.000000,18.000000,4.701398,19.400000,689,148.000000,5.051767,679,48.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,18,speed_18,265,0.012489,-2.000000,0.000000,18.000000,4.812154,22.000000,688,152.000000,5.024948,679,52.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,19,speed_19,235,0.012492,-2.000000,0.000000,18.000000,4.394319,19.800000,688,156.000000,4.755582,679,56.000000
middlefinger_speed50_force100_20trials_20260303-180533.csv,speed,speed50,50,100,60,20,speed_20,233,0.012474,-2.000000,0.000000,18.000000,4.156828,23.800000,688,156.000000,4.468421,679,56.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,1,speed_01,183,0.012361,-2.000000,0.000000,18.000000,2.962355,22.800000,689,182.000000,3.333348,677,82.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,2,speed_02,271,0.012331,-2.000000,0.000000,18.000000,3.985672,19.200000,690,209.000000,4.306192,676,109.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,3,speed_03,170,0.012419,-1.540000,0.732393,18.460000,3.004498,20.400000,689,212.000000,3.238058,676,112.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,4,speed_04,174,0.012405,-2.000000,0.000000,18.000000,3.442851,20.000000,686,204.000000,3.628723,676,104.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,5,speed_05,90,0.024671,-2.000000,0.000000,18.000000,2.977536,20.000000,685,229.000000,3.445930,676,129.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,6,speed_06,125,0.012450,-1.680000,0.523068,18.320000,3.025188,21.200000,686,212.000000,3.331381,676,112.000000
middlefinger_speed100_force100_20trials_20260303-175333.csv,speed,speed100,100,100,60,7,speed_07,143,0.012455,-2.000000,0.000000,18.000000,3.240233,21.800000,690,204.000000,3.538784,676,104.000000
